job_name	company_name	min_salary	max_salary	education	workyear	workarea	companytype	issuedate
Java开发工程师	浙江网新恒天软件有限公司	10000	18000	本科	3-4	杭州-拱墅区	合资	2022-01-01 04:00:37
Java开发工程师	浙江元翼科技有限公司	15000	22000	本科	3-4	杭州-西湖区	民营公司	2022-01-01 04:00:37
高级Java开发工程师	高新兴智联	10000	20000	本科	3-4	广州	上市公司	2022-01-01 04:00:37
高级JAVA开发	深圳市全民通控股集团有限公司	15000	25000	本科	5-7	深圳-宝安区	民营公司	2022-01-01 04:00:37
Java开发工程师	先达国际货运（上海）有限公司	12000	25000	大专	3-4	深圳-罗湖区	外资（非欧美）	2022-01-01 04:00:37
Java开发工程师	金田	8000	10000	大专	2	东莞	民营公司	2022-01-01 04:00:37
中级Java开发	浙江云诺通信科技有限公司	12000	15000	大专	3-4	杭州-西湖区	民营公司	2022-01-01 04:00:37
Java高级开发工程师	十方天资（北京）文化科技发展有限公司	14000	28000	本科	3-4	北京-昌平区	民营公司	2022-01-01 04:00:37
Java开发工程师	成都望子成龙外语培训学校	5000	10000	大专	1	成都-武侯区	民营公司	2022-01-01 04:00:37
初级Java工程师	深圳市中智信融资担保有限公司	7000	10000	大专	无需	深圳-南山区	民营公司	2022-01-01 04:00:37
JAVA	广州宏途教育网络科技有限公司	10000	13000	本科	3-4	广州-黄埔区	创业公司	2022-01-01 04:00:37
JAVA开发工程师	苏州微缔软件股份有限公司	7000	10000	大专	3-4	苏州	上市公司	2022-01-01 04:00:37
Java开发工程师	南京泰瑞信息技术有限公司	7000	12000	大专	2	南京-雨花台区	民营公司	2022-01-01 04:00:37
Java高级开发工程师	江苏叁拾叁信息技术有限公司	10000	15000	本科	2	盐城-盐都区	民营公司	2022-01-01 04:00:37
Java开发工程师	广西由来溯往云数据科技有限责任公司	6000	8000	大专	3-4	南宁-青秀区	民营公司	2022-01-01 04:00:37
Java中级开发工程师	湖南中交京纬信息科技有限公司	7000	12000	大专	3-4	长沙-雨花区	民营公司	2022-01-01 04:00:37
Java开发工程师	上海零假设信息科技有限公司	15000	20000	本科	3-4	上海-静安区	民营公司	2022-01-01 04:00:37
Java软件开发工程师	上海金电网安科技有限公司	7000	15000	本科	2	上海-浦东新区	民营公司	2022-01-01 04:00:37
Java开发工程师	深圳市广汇通智能科技有限公司	12000	20000	本科	3-4	深圳-龙华区	民营公司	2022-01-01 04:00:37
Java开发工程师	同略科技有限公司	8000	10000	本科	2	广州-天河区	民营公司	2022-01-01 04:00:37
JAVA软件工程师	苏州星恒通导航技术有限公司	15000	25000	本科	2	苏州-高新区	民营公司	2022-01-01 04:00:37
Java服务器开发工程师	中国石油天然气管道工程有限公司	8000	20000	本科	1	成都	国企	2022-01-01 04:00:37
Java中级开发工程师	北京思诺博信息技术有限公司	10000	20000	本科	3-4	上海-长宁区	合资	2022-01-01 04:00:37
Java高级开发工程师	广东医柜智能科技有限公司	20000	30000	本科	8-9	上海-徐汇区	民营公司	2022-01-01 04:00:37
高级JAVA开发工程师	澳汰尔工程软件（上海）有限公司	200000	400000	本科	3-4	上海-静安区	外资（欧美）	2022-01-01 04:00:37
Java开发工程师	大连慧瑞咨询有限公司	15000	20000	本科	5-7	大连	民营公司	2022-01-01 04:00:37
