job_name	company_name	min_salary	max_salary	education	workyear	workarea	companytype	issuedate
Java开发高级工程师	电信事业部	13000	18000	本科	3-4	济南-高新区	外资（欧美）	2022-01-01 07:00:17
Java开发工程师	亚信科技（中国）有限公司	15000	25000	本科	3-4	北京-朝阳区	上市公司	2022-01-01 07:00:17
Java中高级开发工程师	亚信科技CTC	15000	30000	本科	5-7	北京	合资	2022-01-01 07:00:16
Java开发工程师	亚信科技（杭州）有限公司	18000	30000	本科	2	杭州-滨江区	外资（欧美）	2022-01-01 07:00:15
Java开发工程师	亚信科技IDC	15000	25000	本科	3-4	无锡-梁溪区	上市公司	2022-01-01 07:00:13
高级java工程师	亚信在线BIU	20000	29000	本科	5-7	北京-海淀区	合资	2022-01-01 07:00:13
Java	Ericsson (China) Communications Co.LTD 爱立信（中国）通信有限公司	20000	35000	本科	2	北京-朝阳区	外资（欧美）	2022-01-01 07:00:12
Java开发工程师	广维新创信息技术（青岛）有限公司	5000	8000	本科	2	青岛-平度市	民营公司	2022-01-01 07:00:10
Java开发工程师	无锡挚达物联科技有限公司	8000	15000	本科	2	无锡-滨湖区	民营公司	2022-01-01 05:29:49
Java架构师	沈阳云游网络科技有限公司	10000	20000	本科	3-4	沈阳	民营公司	2022-01-01 05:00:15
Java架构师	万紫智造系统（深圳）有限公司	15000	20000	大专	5-7	重庆-南岸区	民营公司	2022-01-01 05:00:11
Java开发工程师	深圳市华兴国盟科技投资发展有限公司	10000	13000	本科	2	广州-海珠区	民营公司	2022-01-01 04:06:30
Java工程师	勤达睿（中国）信息科技有限公司	21000	26000	本科	5-7	上海	上市公司	2022-01-01 04:00:37
Java中级开发工程师	健思软件（大连）有限公司	12000	18000	本科	3-4	上海	外资（非欧美）	2022-01-01 04:00:37
Java高级开发工程师	浙江文谷亦云科技有限公司	12000	24000	本科	3-4	宁波-鄞州区	民营公司	2022-01-01 04:00:37
Java开发工程师	南国红豆控股有限公司	10000	15000	本科	3-4	无锡-锡山区	民营公司	2022-01-01 04:00:37
Java框架师	佛山市联汇盛鞋业有限公司	8000	15000	本科	5-7	佛山-南海区	合资	2022-01-01 04:00:37
Java开发工程师	广东蓝玖新能源科技有限公司	12000	16000	本科	3-4	东莞-寮步镇	民营公司	2022-01-01 04:00:37
