排名	学校名称	综合得分	星级排名	办学层次
1	北京大学	100	8	世界一流大学
2	清华大学	98.78	8	世界一流大学
3	复旦大学	82.14	8	世界一流大学
4	浙江大学	81.98	8	世界一流大学
5	南京大学	81.43	8	世界一流大学
6	上海交通大学	81.34	8	世界一流大学
7	华中科技大学	80.49	7	世界知名高水平大学
8	中国科学技术大学	80.44	8	世界一流大学
9	中国人民大学	80.41	8	世界一流大学
10	天津大学	80.38	7	世界知名高水平大学
10	武汉大学	80.38	7	世界知名高水平大学
12	南开大学	79.28	7	世界知名高水平大学
13	山东大学	79.19	7	世界知名高水平大学
14	中山大学	78.75	7	世界知名高水平大学
15	西安交通大学	76.48	7	世界知名高水平大学
16	哈尔滨工业大学	76.23	7	世界知名高水平大学
