排名	学校名称	综合得分	星级排名	办学层次
218	东北石油大学	62.14	4	中国高水平大学
218	广西民族大学	62.14	4	中国高水平大学
220	延边大学	62.11	3	区域一流大学
220	中国计量大学	62.11	3	区域一流大学
222	海南师范大学	62.10	2	区域高水平大学
223	沈阳建筑大学	62.02	3	区域一流大学
224	云南农业大学	62.01	3	区域一流大学
224	重庆工商大学	62.01	3	区域一流大学
224	甘肃农业大学	62.01	3	区域一流大学
227	内蒙古农业大学	61.98	3	区域一流大学
227	南昌航空大学	61.98	3	区域一流大学
227	新疆师范大学	61.98	2	区域高水平大学
230	广东财经大学	61.97	3	区域一流大学
230	青岛理工大学	61.97	2	区域高水平大学
232	云南财经大学	61.95	3	区域一流大学
232	台州学院	61.95	3	区域一流大学
234	西南科技大学	61.93	3	区域一流大学
234	北京工商大学	61.93	3	区域一流大学
234	大连交通大学	61.93	3	区域一流大学
234	广东海洋大学	61.93	3	区域一流大学
238	西北民族大学	61.91	4	中国高水平大学
238	安徽工业大学	61.91	3	区域一流大学
238	河北经贸大学	61.91	3	区域一流大学
238	辽宁科技大学	61.91	2	区域高水平大学
242	哈尔滨商业大学	61.90	3	区域一流大学
242	沈阳大学	61.90	3	区域一流大学
244	华东交通大学	61.89	3	区域一流大学
244	中国民航大学	61.89	3	区域一流大学
244	安徽建筑大学	61.89	3	区域一流大学
247	南华大学	61.88	3	区域一流大学
247	山西农业大学	61.88	3	区域一流大学
247	武汉轻工大学	61.88	3	区域一流大学
247	内蒙古师范大学	61.88	2	区域高水平大学
251	新疆农业大学	61.87	3	区域一流大学
251	景德镇陶瓷大学	61.87	2	区域高水平大学
253	山东理工大学	61.86	3	区域一流大学
253	烟台大学	61.86	2	区域高水平大学
255	西安工程大学	61.85	2	区域高水平大学
256	宁夏大学	61.84	3	区域一流大学
257	安徽理工大学	61.81	2	区域高水平大学
258	湖北文理学院	61.80	3	区域一流大学
259	上海工程技术大学	61.79	3	区域一流大学
259	北华大学	61.79	2	区域高水平大学
259	五邑大学	61.79	2	区域高水平大学
262	南京财经大学	61.76	3	区域一流大学
263	山西师范大学	61.75	2	区域高水平大学
264	长春工业大学	61.73	2	区域高水平大学
264	北京信息科技大学	61.73	2	区域高水平大学
266	大连海洋大学	61.72	3	区域一流大学
266	沈阳化工大学	61.72	2	区域高水平大学
268	武汉纺织大学	61.71	2	区域高水平大学
269	青海大学	61.70	3	区域一流大学
270	北京建筑大学	61.69	4	中国高水平大学
270	浙江海洋大学	61.69	3	区域一流大学
272	常州大学	61.68	3	区域一流大学
273	天津职业技术师范大学	61.67	2	区域高水平大学
274	广东金融学院	61.66	2	区域高水平大学
275	安徽财经大学	61.65	2	区域高水平大学
275	聊城大学	61.65	2	区域高水平大学
277	成都大学	61.64	3	区域一流大学
278	沈阳航空航天大学	61.63	3	区域一流大学
278	河北工程大学	61.63	2	区域高水平大学
280	西安石油大学	61.62	3	区域一流大学
281	内蒙古科技大学	61.61	2	区域高水平大学
282	青岛农业大学	61.60	3	区域一流大学
282	内蒙古工业大学	61.60	2	区域高水平大学
282	东华理工大学	61.60	2	区域高水平大学
285	西安工业大学	61.58	2	区域高水平大学
286	沈阳师范大学	61.57	2	区域高水平大学
286	江苏科技大学	61.57	2	区域高水平大学
288	吉林财经大学	61.56	3	区域一流大学
289	天津商业大学	61.55	2	区域高水平大学
290	南宁师范大学	61.51	2	区域高水平大学
291	山东建筑大学	61.50	3	区域一流大学
291	佛山科学技术学院	61.50	2	区域高水平大学
293	赣南师范大学	61.48	2	区域高水平大学
293	太原科技大学	61.48	2	区域高水平大学
295	北方工业大学	61.46	2	区域高水平大学
296	鲁东大学	61.45	2	区域高水平大学
296	西华大学	61.45	2	区域高水平大学
296	浙江科技学院	61.45	2	区域高水平大学
299	西南林业大学	61.44	3	区域一流大学
299	西华师范大学	61.44	2	区域高水平大学
299	河南财经政法大学	61.44	2	区域高水平大学
299	成都信息工程大学	61.44	2	区域高水平大学
303	吉林师范大学	61.43	2	区域高水平大学
304	湖南工业大学	61.42	2	区域高水平大学
305	吉首大学	61.41	2	区域高水平大学
306	郑州轻工业大学	61.37	2	区域高水平大学
307	上海对外经贸大学	61.36	3	区域一流大学
307	南京审计大学	61.36	3	区域一流大学
307	塔里木大学	61.36	2	区域高水平大学
310	华北水利水电大学	61.35	3	区域一流大学
310	青海民族大学	61.35	2	区域高水平大学
310	青海师范大学	61.35	2	区域高水平大学
313	贵州民族大学	61.33	3	区域一流大学
313	上海电力大学	61.33	2	区域高水平大学
315	大连民族大学	61.32	3	区域一流大学
315	西藏大学	61.32	3	区域一流大学
315	广东技术师范大学	61.32	2	区域高水平大学
318	北京服装学院	61.30	2	区域高水平大学
318	齐齐哈尔大学	61.30	2	区域高水平大学
320	天津城建大学	61.29	3	区域一流大学
320	湖南理工学院	61.29	2	区域高水平大学
322	广东石油化工学院	61.27	2	区域高水平大学
323	新疆财经大学	61.26	3	区域一流大学
323	贵州财经大学	61.26	2	区域高水平大学
323	延安大学	61.26	2	区域高水平大学
326	辽宁石油化工大学	61.25	3	区域一流大学
326	吉林化工学院	61.25	2	区域高水平大学
328	渤海大学	61.24	2	区域高水平大学
328	佳木斯大学	61.24	2	区域高水平大学
328	福建工程学院	61.24	2	区域高水平大学
328	韶关学院	61.24	2	区域高水平大学
332	绍兴文理学院	61.23	3	区域一流大学
333	西安邮电大学	61.22	3	区域一流大学
333	信阳师范学院	61.22	2	区域高水平大学
333	中原工学院	61.22	2	区域高水平大学
333	上海立信会计金融学院	61.22	2	区域高水平大学
337	黑龙江科技大学	61.20	2	区域高水平大学
338	仲恺农业工程学院	61.18	2	区域高水平大学
339	苏州科技大学	61.15	2	区域高水平大学
340	韩山师范学院	61.14	2	区域高水平大学
341	北方民族大学	61.13	2	区域高水平大学
341	河南科技学院	61.13	2	区域高水平大学
341	肇庆学院	61.13	2	区域高水平大学
344	华北理工大学	61.12	2	区域高水平大学
344	合肥学院	61.12	2	区域高水平大学
344	江汉大学	61.12	2	区域高水平大学
344	长春大学	61.12	2	区域高水平大学
344	上海应用技术大学	61.12	2	区域高水平大学
349	惠州学院	61.10	2	区域高水平大学
350	嘉兴学院	61.09	1	区域知名大学
351	天津农学院	61.08	3	区域一流大学
351	深圳技术大学	61.08	2	区域高水平大学
351	淮北师范大学	61.08	1	区域知名大学
